GTIN,ProductDescription,SKU
811931030000,"The 4 foot by 6 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety.",OHPW46-B
811931030017,"The 4 foot by 8 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety.",OHPW48-B
811931030024,"The 4 foot by 9 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety.",OHPW49-B
811931030031,"The 4 foot by 10 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety.",OHPW410-B
811931030048,"The 4 foot by 12 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW412-B
811931030055,"The 4 foot by 14 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW414-B
811931030062,"The 4 foot by 16 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW416-B
811931030079,"The 4 foot by 18 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW418-B
811931030086,"The 4 foot by 20 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW420-B
811931030093,"The 4 foot by 22 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW422-B
811931030109,"The 4 foot by 24 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW424-B
811931030116,"The 4 foot by 26 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW426-B
811931030123,"The 4 foot by 28 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW428-B
811931030130,"The 4 foot by 30 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW430-B
811931030147,"The 4 foot by 32 foot wall mounted defender net safety barrier and loading dock safety net by US Netting. It's easy to install, minimizes product loss, and encourages workplace safety. ",OHPW432-B
